operator_id,first_name,last_name,shift,hourly_rate,experience_years
1,Patricia,Smith,Day,35.55,12
2,Robert,Brown,Night,34.98,11
3,John,Jackson,Day,,7
4,Michael,Davis,Night,31.7,9
5,Michael,Moore,Night,27.94,7
6,William,Smith,Night,38.11,13
7,Susan,Hernandez,Swing,24.81,5
8,Patricia,Williams,,27.69,7
9,Karen,Rodriguez,Swing,36.59,13
10,Sarah,Brown,Night,40.26,15
11,Elizabeth,Martin,Night,,15
12,Michael,Williams,Swing,19.82,1
13,John,Davis,Swing,38.2,14
14,Joseph,Lopez,Day,,
15,William,Williams,Night,33.27,10
16,Linda,Garcia,Night,29.76,8
17,Sarah,,Day,34.15,11
18,Linda,Johnson,Swing,37.13,13
19,John,Miller,Night,41.39,
20,David,Miller,,34.5,11
